doi,name,affiliation,publisher
10.7910/dvn/xzqlmv/ig5gaa,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/lxswwe,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/1gbu3x,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/c8fkr1,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/bhtnz9,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ajk9v8,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/kims4k,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/bwqku2,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/afs0qd,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/amnqsk,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/z72lcm,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/rugsmw,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/xn4xjo,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ddlcvl,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mvnffm,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/sgatf2,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/aa2cvj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/lkglix,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/7uagxw,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/0jl9f2,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/0viuhh,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/kcefdj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/wwifxt,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/pqrtkt,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/dofvdf,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/qbjfop,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/eaqysa,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/sqsywu,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/7ojrk5,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/lnhenn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/vhtyvf,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/msdkpd,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/kb2hl0,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/yw0jdu,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/c29gvx,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/vtrfwn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/u8wpbw,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/sm8uc3,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/7ir8ue,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/805k9p,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/xpzjum,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/gieosg,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/qz8ucz,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/dnmigf,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/qv6pvn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/qk5yii,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/jsquzi,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/k7cpdd,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/a1p5d9,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/khmr2s,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/l1m34a,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/44bymt,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/wudvvy,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/k4fk2f,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/lz2umc,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/2yf6tv,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/m6cfzx,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/rr45wb,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/lcwdr3,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/wvqhgc,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ajibkd,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/h52xtg,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/vno6uo,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/e4krpx,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/rhwpko,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/qkk1al,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/cmvozo,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/fusymz,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/2d9lwe,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/i6ihha,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/rsk4j4,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/i727hr,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/jbb7zp,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/omloee,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/6jichc,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/szlw8j,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/92xlmn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/toux8o,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/baek3u,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ihj2oo,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/j3kdtu,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/pgrblg,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/jymxcn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/dcr182,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/k4un3u,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ieihsw,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/41pwju,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/q91uw9,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/umayxl,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/fi3wrq,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/hjk3mt,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/dtjefy,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/iei9ab,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ijddcc,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/o4erj0,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/aioaef,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/0xgrtc,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/y1mkgn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mkacmb,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/seevhs,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/wio10a,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/jat5at,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mwuedn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/yev5rl,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/q5jsba,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/x9rova,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/q1cf0e,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/nqitdh,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/lmwdem,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ug50fk,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/dzto8g,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.22033/esgf/input4mips.1117,"van Marle, Margreet J.E.",Vrije Universiteit Amsterdam (VUA),Earth System Grid Federation
